update_date,franchise,title,experience,season,update_title,date_source_type,source_page_title,source_url,source_file,retrieved_at
2025-11-24,Call of Duty,Black Ops 7,,Preseason,November 24,anchor,Call of Duty: Black Ops 7 Preseason Patch Notes,https://www.callofduty.com/patchnotes/2025/11/call-of-duty-black-ops-7-preseason-patch-notes,call-of-duty-black-ops-7-preseason-patch-notes-142d7fa736.html,2026-09-18T00:27:50.458542+00:00
2025-11-25,Call of Duty,Black Ops 7,,Preseason,November 25,anchor,Call of Duty: Black Ops 7 Preseason Patch Notes,https://www.callofduty.com/patchnotes/2025/11/call-of-duty-black-ops-7-preseason-patch-notes,call-of-duty-black-ops-7-preseason-patch-notes-142d7fa736.html,2026-09-18T00:27:50.458542+00:00
2025-11-26,Call of Duty,Black Ops 7,,Preseason,"November 26, 2025",dateline;anchor,Call of Duty: Black Ops 7 Preseason Patch Notes,https://www.callofduty.com/patchnotes/2025/11/call-of-duty-black-ops-7-preseason-patch-notes,call-of-duty-black-ops-7-preseason-patch-notes-142d7fa736.html,2026-09-18T00:27:50.458542+00:00
2025-12-03,Call of Duty,,Warzone,Season 01,WEDNESDAY DECEMBER 3,heading,Call of Duty: Warzone Season 01 Patch Notes,https://www.callofduty.com/patchnotes/2025/12/call-of-duty-bo7-warzone-season-01-patch-notes,call-of-duty-bo7-warzone-season-01-patch-notes-a46e06fe43.html,2026-09-18T00:27:53.021239+00:00
2025-12-05,Call of Duty,Black Ops 7,,Season 01,December 5,anchor,Call of Duty: Black Ops 7 Season 01 Patch Notes,https://www.callofduty.com/patchnotes/2025/12/call-of-duty-black-ops-7-season-01-patch-notes,call-of-duty-black-ops-7-season-01-patch-notes-0396050a8c.html,2026-09-18T00:27:51.751532+00:00
2025-12-10,Call of Duty,Black Ops 7,,Season 01,December 10,anchor,Call of Duty: Black Ops 7 Season 01 Patch Notes,https://www.callofduty.com/patchnotes/2025/12/call-of-duty-black-ops-7-season-01-patch-notes,call-of-duty-black-ops-7-season-01-patch-notes-0396050a8c.html,2026-09-18T00:27:51.751532+00:00
2025-12-10,Call of Duty,,Warzone,Season 01,WEDNESDAY DECEMBER 10,heading,Call of Duty: Warzone Season 01 Patch Notes,https://www.callofduty.com/patchnotes/2025/12/call-of-duty-bo7-warzone-season-01-patch-notes,call-of-duty-bo7-warzone-season-01-patch-notes-a46e06fe43.html,2026-09-18T00:27:53.021239+00:00
2025-12-12,Call of Duty,Black Ops 7,,Season 01,December 12,anchor,Call of Duty: Black Ops 7 Season 01 Patch Notes,https://www.callofduty.com/patchnotes/2025/12/call-of-duty-black-ops-7-season-01-patch-notes,call-of-duty-black-ops-7-season-01-patch-notes-0396050a8c.html,2026-09-18T00:27:51.751532+00:00
2025-12-12,Call of Duty,,Warzone,Season 01,FRIDAY DECEMBER 12,heading,Call of Duty: Warzone Season 01 Patch Notes,https://www.callofduty.com/patchnotes/2025/12/call-of-duty-bo7-warzone-season-01-patch-notes,call-of-duty-bo7-warzone-season-01-patch-notes-a46e06fe43.html,2026-09-18T00:27:53.021239+00:00
2025-12-16,Call of Duty,Black Ops 7,,Season 01,December 16,anchor,Call of Duty: Black Ops 7 Season 01 Patch Notes,https://www.callofduty.com/patchnotes/2025/12/call-of-duty-black-ops-7-season-01-patch-notes,call-of-duty-black-ops-7-season-01-patch-notes-0396050a8c.html,2026-09-18T00:27:51.751532+00:00
2025-12-16,Call of Duty,,Warzone,Season 01,TUESDAY DECEMBER 16,heading;dateline,Call of Duty: Warzone Season 01 Patch Notes,https://www.callofduty.com/patchnotes/2025/12/call-of-duty-bo7-warzone-season-01-patch-notes,call-of-duty-bo7-warzone-season-01-patch-notes-a46e06fe43.html,2026-09-18T00:27:53.021239+00:00
2026-01-08,Call of Duty,,Warzone,Season 01 Reloaded,THURSDAY JANUARY 8,heading;dateline,Call of Duty: Warzone Season 01 Reloaded Patch Notes,https://www.callofduty.com/patchnotes/2026/01/call-of-duty-bo7-warzone-season-01-reloaded-patch-notes,call-of-duty-bo7-warzone-season-01-reloaded-patch-notes-684355564c.html,2026-09-18T00:27:54.255212+00:00
2026-01-13,Call of Duty,Black Ops 7,,Season 01,January 13,anchor,Call of Duty: Black Ops 7 Season 01 Patch Notes,https://www.callofduty.com/patchnotes/2025/12/call-of-duty-black-ops-7-season-01-patch-notes,call-of-duty-black-ops-7-season-01-patch-notes-0396050a8c.html,2026-09-18T00:27:51.751532+00:00
2026-01-13,Call of Duty,,Warzone,Season 01 Reloaded,TUESDAY JANUARY 13,heading,Call of Duty: Warzone Season 01 Reloaded Patch Notes,https://www.callofduty.com/patchnotes/2026/01/call-of-duty-bo7-warzone-season-01-reloaded-patch-notes,call-of-duty-bo7-warzone-season-01-reloaded-patch-notes-684355564c.html,2026-09-18T00:27:54.255212+00:00
2026-01-15,Call of Duty,,Warzone,Season 01 Reloaded,THURSDAY JANUARY 15,heading,Call of Duty: Warzone Season 01 Reloaded Patch Notes,https://www.callofduty.com/patchnotes/2026/01/call-of-duty-bo7-warzone-season-01-reloaded-patch-notes,call-of-duty-bo7-warzone-season-01-reloaded-patch-notes-684355564c.html,2026-09-18T00:27:54.255212+00:00
2026-01-20,Call of Duty,Black Ops 7,,Season 01,January 20,anchor,Call of Duty: Black Ops 7 Season 01 Patch Notes,https://www.callofduty.com/patchnotes/2025/12/call-of-duty-black-ops-7-season-01-patch-notes,call-of-duty-black-ops-7-season-01-patch-notes-0396050a8c.html,2026-09-18T00:27:51.751532+00:00
2026-01-22,Call of Duty,Black Ops 7,,Season 01,January 22,anchor,Call of Duty: Black Ops 7 Season 01 Patch Notes,https://www.callofduty.com/patchnotes/2025/12/call-of-duty-black-ops-7-season-01-patch-notes,call-of-duty-black-ops-7-season-01-patch-notes-0396050a8c.html,2026-09-18T00:27:51.751532+00:00
2026-01-22,Call of Duty,,Warzone,Season 01 Reloaded,THURSDAY JANUARY 22,heading,Call of Duty: Warzone Season 01 Reloaded Patch Notes,https://www.callofduty.com/patchnotes/2026/01/call-of-duty-bo7-warzone-season-01-reloaded-patch-notes,call-of-duty-bo7-warzone-season-01-reloaded-patch-notes-684355564c.html,2026-09-18T00:27:54.255212+00:00
2026-01-28,Call of Duty,Black Ops 7,,Season 01,"January 28, 2026",dateline;anchor,Call of Duty: Black Ops 7 Season 01 Patch Notes,https://www.callofduty.com/patchnotes/2025/12/call-of-duty-black-ops-7-season-01-patch-notes,call-of-duty-black-ops-7-season-01-patch-notes-0396050a8c.html,2026-09-18T00:27:51.751532+00:00
2026-02-04,Call of Duty,,Warzone,Season 02,WEDNESDAY FEBRUARY 4,heading,Call of Duty: Warzone Season 02 Patch Notes,https://www.callofduty.com/patchnotes/2026/02/call-of-duty-bo7-warzone-season-02-patch-notes,call-of-duty-bo7-warzone-season-02-patch-notes-55f7890b2d.html,2026-09-18T00:27:56.674047+00:00
2026-02-06,Call of Duty,Black Ops 7,,Season 02,February 6,anchor,Call of Duty: Black Ops 7 Season 02 Patch Notes,https://www.callofduty.com/patchnotes/2026/02/call-of-duty-black-ops-7-season-02-patch-notes,call-of-duty-black-ops-7-season-02-patch-notes-edeb15cbf8.html,2026-09-18T00:27:55.450517+00:00
2026-02-06,Call of Duty,,Warzone,Season 02,FRIDAY FEBRUARY 6,heading,Call of Duty: Warzone Season 02 Patch Notes,https://www.callofduty.com/patchnotes/2026/02/call-of-duty-bo7-warzone-season-02-patch-notes,call-of-duty-bo7-warzone-season-02-patch-notes-55f7890b2d.html,2026-09-18T00:27:56.674047+00:00
2026-02-13,Call of Duty,Black Ops 7,,Season 02,February 13,anchor,Call of Duty: Black Ops 7 Season 02 Patch Notes,https://www.callofduty.com/patchnotes/2026/02/call-of-duty-black-ops-7-season-02-patch-notes,call-of-duty-black-ops-7-season-02-patch-notes-edeb15cbf8.html,2026-09-18T00:27:55.450517+00:00
2026-02-13,Call of Duty,,Warzone,Season 02,FRIDAY FEBRUARY 13,heading,Call of Duty: Warzone Season 02 Patch Notes,https://www.callofduty.com/patchnotes/2026/02/call-of-duty-bo7-warzone-season-02-patch-notes,call-of-duty-bo7-warzone-season-02-patch-notes-55f7890b2d.html,2026-09-18T00:27:56.674047+00:00
2026-02-19,Call of Duty,,Warzone,Season 02,THURSDAY FEBRUARY 19,heading,Call of Duty: Warzone Season 02 Patch Notes,https://www.callofduty.com/patchnotes/2026/02/call-of-duty-bo7-warzone-season-02-patch-notes,call-of-duty-bo7-warzone-season-02-patch-notes-55f7890b2d.html,2026-09-18T00:27:56.674047+00:00
2026-02-20,Call of Duty,Black Ops 7,,Season 02,February 20,anchor,Call of Duty: Black Ops 7 Season 02 Patch Notes,https://www.callofduty.com/patchnotes/2026/02/call-of-duty-black-ops-7-season-02-patch-notes,call-of-duty-black-ops-7-season-02-patch-notes-edeb15cbf8.html,2026-09-18T00:27:55.450517+00:00
2026-02-25,Call of Duty,Black Ops 7,,Season 02,February 25,anchor,Call of Duty: Black Ops 7 Season 02 Patch Notes,https://www.callofduty.com/patchnotes/2026/02/call-of-duty-black-ops-7-season-02-patch-notes,call-of-duty-black-ops-7-season-02-patch-notes-edeb15cbf8.html,2026-09-18T00:27:55.450517+00:00
